Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , 
         -0.4,   -0.04651069, ,           0.2,    0.02351029, ,          -0.2,   -0.02311176, ,           0.4,    0.04394998, ,           3.2,     0.3668278, ,           5.8,     0.6675757, ,           3.2,     0.3682302, ,           1.6,     0.1823168, ,           0.4,    0.04601787, , 
         -0.2,   -0.02316381, ,           0.4,    0.04705478, ,             0,  1.116862e-09, ,           0.6,    0.06676745, ,           3.4,     0.3899718, ,             6,     0.6903992, ,           3.4,     0.3916123, ,           1.8,     0.2056477, ,           0.6,    0.06874804, , 
            0,   4.35071e-09, ,           0.6,    0.07064767, ,           0.2,    0.02311185, ,             1,     0.1122885, ,           3.6,     0.4130979, ,           6.2,     0.7132441, ,           3.6,     0.4148955, ,             2,     0.2289642, ,           0.8,    0.09147247, , 
          0.2,    0.02316386, ,           0.8,    0.09399759, ,           0.4,    0.04582346, ,           1.2,     0.1350966, ,           3.8,     0.4363098, ,           6.4,     0.7360334, ,           3.8,     0.4380782, ,           2.2,     0.2521806, ,             1,     0.1143174, , 
          0.4,     0.0465109, ,             1,     0.1165448, ,           0.6,    0.06836484, ,           1.4,     0.1581842, ,             4,     0.4594661, ,           6.6,     0.7586982, ,             4,     0.4612426, ,           2.4,     0.2752897, ,           1.2,     0.1368817, , 
          0.6,    0.06994435, ,           1.2,     0.1386129, ,           0.8,    0.09085915, ,           1.6,     0.1811886, ,           4.2,     0.4825049, ,           6.8,     0.7809459, ,           4.2,      0.484411, ,           2.6,     0.2986804, ,           1.4,     0.1597905, , 
          0.8,    0.09332784, ,           1.4,     0.1605709, ,             1,     0.1134742, ,           1.8,     0.2042948, ,           4.4,     0.5055267, ,             7,     0.8029482, ,           4.6,     0.5308292, ,           2.8,     0.3221057, ,           1.6,     0.1827226, , 
            1,     0.1167928, ,           1.6,      0.182487, ,           1.2,     0.1359384, ,             2,     0.2274405, ,           4.6,     0.5285295, ,           7.2,      0.825275, ,           4.8,     0.5539852, ,             3,     0.3454414, ,           1.8,     0.2059318, , 
          1.2,     0.1399748, ,           1.8,     0.2044942, ,           1.4,     0.1584453, ,           2.2,      0.250578, ,           4.8,     0.5516085, ,           7.4,     0.8474876, ,             5,     0.5771128, ,           3.2,     0.3688178, ,             2,     0.2292337, , 
          1.4,     0.1632147, ,             2,     0.2268575, ,           1.6,     0.1812375, ,           2.4,     0.2738114, ,             5,      0.574692, ,           7.6,      0.869613, ,           5.2,     0.6001124, ,           3.4,     0.3921829, ,           2.2,     0.2523814, , 
          1.6,     0.1862739, ,           2.2,     0.2493882, ,           1.8,     0.2041854, ,           2.6,     0.2968887, ,           5.2,     0.5977205, ,           7.8,     0.8916431, ,           5.4,     0.6229664, ,           3.6,     0.4154557, ,           2.4,     0.2756312, , 
          1.8,     0.2090096, ,           2.4,     0.2717618, ,             2,      0.227053, ,           2.8,     0.3197222, ,           5.4,     0.6206796, ,             8,     0.9136776, ,           5.6,     0.6458292, ,           3.8,     0.4386985, ,           2.8,     0.3224733, , 
            2,     0.2301192, ,           2.6,     0.2943842, ,           2.2,     0.2499871, ,             3,     0.3426348, ,           5.6,     0.6435547, ,           8.8,      1.000198, ,           5.8,     0.6687506, ,             4,     0.4619408, ,             3,     0.3458677, , 
          2.2,     0.2503673, ,           2.8,     0.3168842, ,           2.4,     0.2728892, ,           3.2,      0.365647, ,             6,     0.6888615, ,             9,       1.02152, ,             6,     0.6916837, ,           4.2,     0.4852066, ,           3.2,     0.3693016, , 
          2.4,     0.2709356, ,             3,     0.3397394, ,           2.6,     0.2959996, ,           3.4,     0.3888341, ,           6.2,     0.7115434, ,           9.2,      1.042582, ,           6.2,     0.7145722, ,           4.4,     0.5084436, ,           3.4,     0.3926575, , 
          2.6,     0.2920089, ,           3.2,     0.3622729, ,           2.8,     0.3188897, ,           3.6,     0.4118864, ,           6.4,     0.7342799, ,           9.4,      1.063253, ,           6.4,      0.737355, ,           4.6,      0.531653, ,           3.6,     0.4159395, , 
          2.8,     0.3136925, ,           3.4,     0.3846555, ,             3,     0.3415902, ,           3.8,     0.4349179, ,           6.6,     0.7569336, ,           9.6,      1.083365, ,           6.6,     0.7596784, ,             5,     0.5779219, ,           3.8,     0.4392375, , 
            3,     0.3353709, ,           3.6,     0.4073016, ,           3.2,     0.3641382, ,             4,     0.4580155, ,             7,     0.8013803, ,           9.8,      1.102499, ,             7,     0.8042899, ,           5.2,     0.6008555, ,             4,     0.4625622, , 
          3.2,     0.3571974, ,           3.8,     0.4301091, ,           3.4,      0.387104, ,           4.2,     0.4811287, ,           7.2,     0.8234642, ,            10,      1.118482, ,           7.2,     0.8266363, ,           5.4,     0.6237863, ,           4.2,      0.485879, , 
          3.6,     0.4012709, ,             4,      0.452841, ,           3.6,     0.4100889, ,           4.4,     0.5041412, ,           7.4,     0.8456804, ,          17.4,      1.458125, ,           7.4,      0.848902, ,           5.6,     0.6467658, ,           4.4,      0.509117, , 
          3.8,     0.4232995, ,           4.2,      0.475688, ,           3.8,     0.4331443, ,           4.6,     0.5270333, ,           7.6,     0.8677415, ,          17.6,      1.445191, ,           7.6,     0.8711216, ,           5.8,     0.6697741, ,           4.8,     0.5554108, , 
            4,      0.445222, ,           4.4,     0.4984301, ,           4.2,     0.4789524, ,           4.8,     0.5499312, ,           7.8,     0.8896668, ,          17.8,      1.430013, ,           7.8,     0.8933495, ,             6,     0.6927425, ,             5,     0.5785208, , 
          4.2,     0.4672887, ,           4.6,     0.5209647, ,           4.4,      0.501973, ,             5,     0.5728645, ,             8,     0.9114619, ,            18,      1.412424, ,           8.4,     0.9594686, ,           6.2,     0.7156182, ,           5.2,     0.6015192, , 
          4.4,     0.4893535, ,           4.8,     0.5436213, ,           4.6,     0.5249407, ,           5.2,     0.5958229, ,           8.4,     0.9532283, ,          18.2,      1.391466, ,           8.8,      1.003276, ,           6.4,     0.7381272, ,           5.4,      0.624545, , 
          4.6,     0.5114016, ,             5,     0.5663609, ,           4.8,     0.5477812, ,           5.4,     0.6187456, ,           8.6,     0.9744357, ,          18.4,      1.365898, ,             9,      1.024988, ,           6.6,     0.7604536, ,           5.6,      0.647616, , 
          4.8,     0.5330421, ,           5.2,     0.5889708, ,             5,     0.5705234, ,           5.6,     0.6416321, ,           9.2,      1.034616, ,          18.6,      1.333245, ,           9.2,       1.04654, ,           6.8,      0.782963, ,           5.8,     0.6706425, , 
            5,     0.5552423, ,           5.4,     0.6115064, ,           5.2,     0.5932175, ,           5.8,     0.6644037, ,          10.4,      1.151038, ,          18.8,      1.289234, ,           9.4,       1.06791, ,             7,     0.8053531, ,             6,      0.693601, , 
          5.2,     0.5771496, ,           5.6,     0.6338615, ,           5.4,     0.6158255, ,             6,     0.6870364, ,          10.6,      1.170225, ,            19,      1.222146, ,           9.6,      1.089056, ,           7.2,     0.8277432, ,           6.2,     0.7163731, , 
          5.4,     0.5987496, ,           5.8,     0.6560947, ,           5.6,     0.6385986, ,           6.2,     0.7094956, ,          10.8,      1.188238, , , , ,           9.8,      1.109901, ,           7.4,     0.8501009, ,           6.4,     0.7386455, , 
          5.6,     0.6199786, ,           6.2,     0.7004859, ,           5.8,     0.6613403, ,           6.4,     0.7319344, ,            11,      1.205365, , , , ,            10,      1.130317, ,           7.6,     0.8724678, ,           6.6,     0.7613213, , 
          5.8,     0.6404551, ,           6.4,      0.722744, ,             6,     0.6839859, ,           6.6,     0.7544786, ,          11.2,      1.223178, , , , ,          10.2,      1.150062, ,           7.8,     0.8948157, ,           6.8,     0.7838095, , 
            6,      0.661346, ,           6.6,     0.7448345, ,           6.2,      0.706537, ,           6.8,     0.7769934, ,          11.4,      1.241247, , , , ,          10.4,      1.168657, ,             8,     0.9169678, ,             7,     0.8062479, , 
          6.2,     0.6818485, ,             7,     0.7881708, ,           6.4,     0.7289211, ,             7,     0.7993775, ,          11.6,      1.259046, , , , ,          10.6,      1.184862, ,           8.2,     0.9392221, ,           7.2,     0.8287116, , 
          6.4,     0.7015423, ,           7.2,     0.8093288, ,           6.6,     0.7510858, ,           7.4,     0.8430908, ,          11.8,      1.276851, , , , ,          10.8,      1.197468, ,           8.4,     0.9614088, ,           7.4,     0.8511816, , 
          6.6,     0.7208699, ,           7.4,     0.8299885, ,           6.8,     0.7732082, ,           7.6,     0.8650593, ,            12,      1.294104, , , , ,            11,      1.221169, ,           8.6,     0.9834958, ,           7.6,     0.8736592, , 
          6.8,     0.7418197, ,           7.6,     0.8505235, ,             7,     0.7954287, ,           7.8,       0.88694, ,          12.2,      1.310961, , , , ,          11.2,      1.242401, ,           8.8,        1.0055, ,           7.8,     0.8960705, , 
            7,     0.7652849, ,           7.8,     0.8701792, ,           7.2,     0.8175869, ,             8,     0.9086151, ,          12.4,      1.327399, , , , ,          11.4,       1.26308, ,             9,      1.027407, ,           8.2,     0.9407049, , 
          7.2,     0.7918812, ,             8,     0.8890649, ,           7.4,     0.8395653, ,           8.2,      0.930001, ,          12.6,      1.343377, , , , ,          11.6,      1.280533, ,           9.2,      1.049201, ,           8.4,     0.9629701, , 
          7.4,     0.8197961, ,           8.2,     0.9096605, ,           7.6,     0.8611704, ,           8.4,     0.9494442, ,          12.8,      1.358842, , , , ,          11.8,      1.296837, ,           9.4,      1.070867, ,           8.6,     0.9851458, , 
          7.6,     0.8475135, ,           8.4,     0.9334103, ,           7.8,     0.8822585, ,           8.6,     0.9702646, ,            13,      1.373732, , , , , , , ,           9.6,      1.092398, ,           8.8,      1.007253, , 
          7.8,     0.8682778, ,           8.8,     0.9831406, ,             8,     0.9034704, ,           8.8,     0.9907004, ,          13.2,      1.387969, , , , , , , ,           9.8,      1.113752, ,          10.2,      1.159124, , 
            8,     0.8880335, ,             9,      1.003292, ,           8.2,     0.9243882, ,             9,      1.010568, ,          13.4,      1.401463, , , , , , , ,            10,      1.134911, ,          10.4,      1.180229, , 
          8.2,     0.9069985, ,           9.2,      1.022936, ,           8.4,     0.9446645, ,           9.2,      1.029558, ,          13.6,      1.413914, , , , , , , ,          10.2,      1.155795, ,          10.6,      1.201064, , 
          8.4,     0.9277555, ,           9.4,      1.042967, ,           8.6,     0.9637973, ,           9.4,      1.047127, ,          13.8,      1.424389, , , , , , , ,          10.4,       1.17631, ,          10.8,        1.2215, , 
          8.6,     0.9481931, ,           9.6,      1.063018, ,           8.8,     0.9806507, ,           9.6,      1.066135, ,            14,      1.432844, , , , , , , ,          10.6,      1.196215, ,            11,      1.241288, , 
          8.8,     0.9681271, ,           9.8,      1.082948, ,             9,      1.000144, ,            10,      1.111616, ,          14.2,      1.438666, , , , , , , ,          10.8,      1.215074, ,          11.2,      1.259839, , 
            9,     0.9869665, ,            10,      1.102718, ,           9.2,      1.023598, ,          10.2,      1.131204, ,          14.4,      1.444303, , , , , , , ,            11,      1.232083, ,          11.4,      1.277277, , 
          9.2,      1.004503, ,          10.2,      1.122299, ,           9.4,      1.048649, ,          10.4,      1.150587, ,          14.6,      1.449696, , , , , , , ,          11.2,      1.249989, ,          11.6,      1.299328, , 
          9.4,      1.024588, ,          10.4,      1.141665, ,           9.6,      1.069135, ,          10.6,      1.169758, ,          14.8,      1.454623, , , , , , , ,          11.4,      1.272526, ,          11.8,      1.319083, , 
          9.6,      1.044282, ,          10.6,      1.160794, ,           9.8,      1.089223, ,          10.8,      1.188709, ,            15,      1.458836, , , , , , , ,          11.6,      1.290853, ,            12,      1.339172, , 
          9.8,      1.063487, ,          10.8,      1.179665, ,            10,       1.10912, ,            11,      1.207279, ,          15.2,      1.462332, , , , , , , ,          11.8,      1.310949, ,          12.2,      1.359681, , 
           10,      1.082175, ,            11,      1.198252, ,          10.2,       1.12881, ,          11.2,      1.224836, ,          15.4,       1.46505, , , , , , , ,            12,      1.331357, ,          12.4,      1.380219, , 
         10.2,      1.100406, ,          11.2,      1.216531, ,          10.4,      1.148279, ,          11.4,      1.241693, ,          15.6,      1.466769, , , , , , , ,          12.2,      1.351629, ,          12.6,      1.400589, , 
         10.4,      1.118193, ,          11.4,       1.23448, ,          10.6,      1.167514, ,          11.6,      1.258863, ,          15.8,        1.4676, , , , , , , ,          12.4,      1.370786, ,          12.8,      1.420404, , 
         10.6,      1.135519, ,          11.6,       1.25207, ,          10.8,      1.186499, ,          11.8,      1.276246, ,            16,      1.467215, , , , , , , ,          12.6,      1.386792, ,            13,      1.438649, , 
         10.8,      1.152357, ,          11.8,      1.269297, ,            11,      1.205219, ,            12,      1.293108, ,          16.2,      1.466126, , , , , , , ,          12.8,      1.401122, ,          13.2,      1.456247, , 
           11,      1.168638, ,            12,      1.286075, ,          11.2,      1.223656, ,          12.2,      1.309536, ,          16.4,      1.463377, , , , , , , ,            13,      1.412585, ,          13.4,      1.473888, , 
         11.2,      1.184322, ,          12.2,      1.302381, ,          11.4,      1.241786, ,          12.4,      1.325499, ,          16.6,      1.459132, , , , , , , , , , ,          13.6,      1.490346, , 
         11.4,      1.199362, ,          12.4,      1.318135, ,          11.6,      1.259272, ,          12.6,      1.340949, ,          16.8,      1.453134, , , , , , , , , , ,          13.8,      1.505957, , 
         11.6,      1.213677, ,          12.6,      1.333228, ,          11.8,      1.276603, ,          12.8,      1.355828, ,            17,      1.445352, , , , , , , , , , ,            14,      1.520659, , 
         11.8,      1.227193, ,          12.8,      1.347613, ,            12,      1.292944, ,            13,      1.370064, ,          17.2,      1.435548, , , , , , , , , , ,          14.2,      1.534401, , 
           12,      1.239881, ,            13,      1.361295, ,          12.2,      1.308799, ,          13.2,       1.38357, ,          17.4,      1.423581, , , , , , , , , , ,          14.4,      1.547156, , 
         12.2,      1.251491, ,          13.2,      1.374182, ,          12.4,      1.324637, ,          13.4,      1.396193, ,          17.6,      1.409211, , , , , , , , , , ,          14.6,      1.558911, , 
         12.4,      1.261697, ,          13.4,      1.385823, ,          12.6,      1.340001, ,          13.6,      1.407406, ,          17.8,       1.39229, , , , , , , , , , ,          14.8,       1.56961, , 
         12.6,       1.26998, ,          13.6,      1.395726, ,          12.8,      1.354766, ,          13.8,      1.416635, ,            18,      1.371744, , , , , , , , , , ,            15,      1.578587, , 
         12.8,       1.27581, ,          13.8,       1.40298, ,            13,      1.368859, ,            14,       1.42266, ,          18.2,      1.346145, , , , , , , , , , ,          15.2,      1.581957, , 
           13,      1.281883, ,            14,      1.409747, ,          13.2,      1.382192, ,          14.2,      1.428119, ,          18.4,      1.312769, , , , , , , , , , ,          15.4,      1.584396, , 
         13.2,      1.287962, ,          14.2,      1.416204, ,          13.4,      1.394507, ,          14.4,      1.433391, ,          18.6,      1.265341, , , , , , , , , , ,          15.6,      1.587754, , 
         13.4,      1.293508, ,          14.4,      1.422113, ,          13.6,      1.405413, ,          14.6,      1.438171, ,          18.8,      1.196606, , , , , , , , , , ,          15.8,      1.591644, , 
         13.6,      1.298018, ,          14.6,      1.427427, ,          13.8,      1.413899, ,          14.8,      1.442295, , , , , , , , , , , , , ,            16,       1.59584, , 
         13.8,      1.300791, ,          14.8,      1.432034, ,            14,      1.420061, ,            15,      1.445761, , , , , , , , , , , , , ,          16.2,      1.600063, , 
           14,      1.301298, ,            15,      1.435834, ,          14.2,      1.425897, ,          15.2,      1.448348, , , , , , , , , , , , , ,          16.4,      1.604293, , 
         14.2,      1.300371, ,          15.2,      1.438856, ,          14.4,       1.43143, ,          15.4,      1.450076, , , , , , , , , , , , , ,          16.6,      1.608482, , 
         14.4,      1.297956, ,          15.4,      1.440887, ,          14.6,      1.436442, ,          15.6,      1.450845, , , , , , , , , , , , , ,          16.8,      1.612467, , 
         14.6,      1.293857, ,          15.6,      1.442005, ,          14.8,      1.440739, ,          15.8,       1.45051, , , , , , , , , , , , , ,            17,      1.616237, , 
         14.8,      1.287969, ,          15.8,      1.441973, ,            15,      1.444343, ,            16,      1.449053, , , , , , , , , , , , , ,          17.2,      1.619736, , 
           15,      1.280131, ,            16,      1.440828, ,          15.2,      1.447106, ,          16.2,      1.446242, , , , , , , , , , , , , ,          17.4,      1.625785, , 
         15.2,      1.270073, ,          16.2,      1.438319, ,          15.4,      1.448988, ,          16.4,       1.44206, , , , , , , , , , , , , ,          17.6,      1.628922, , 
         15.4,      1.257641, ,          16.4,      1.434461, ,          15.6,      1.449924, ,          16.6,      1.436809, , , , , , , , , , , , , ,          17.8,      1.631129, , 
         15.6,      1.242738, ,          16.6,      1.428997, ,          15.8,      1.449776, ,          16.8,       1.42945, , , , , , , , , , , , , ,            18,      1.632455, , 
         15.8,      1.224168, ,          16.8,      1.421906, ,            16,       1.44851, ,            17,      1.420133, , , , , , , , , , , , , ,          18.2,       1.63303, , 
           16,      1.201823, ,            17,      1.412821, ,          16.2,      1.445948, ,          17.2,      1.408785, , , , , , , , , , , , , ,          18.4,      1.632385, , 
         16.2,      1.173229, ,          17.2,      1.401764, ,          16.4,      1.442022, ,          17.4,      1.395171, , , , , , , , , , , , , ,          18.6,      1.630652, , 
         16.4,      1.130457, ,          17.4,      1.388326, ,          16.6,      1.436907, ,          17.6,      1.379271, , , , , , , , , , , , , ,          18.8,      1.627551, , 
, , ,          17.6,      1.372521, ,          16.8,      1.429871, ,          17.8,      1.360289, , , , , , , , , , , , , ,            19,      1.622421, , 
, , ,          17.8,      1.353321, ,            17,       1.42101, ,            18,      1.337052, , , , , , , , , , , , , ,          19.2,      1.615643, , 
, , ,            18,       1.32947, ,          17.2,       1.41019, ,          18.2,      1.307536, , , , , , , , , , , , , ,          19.4,      1.606534, , 
, , ,          18.2,      1.298467, ,          17.4,      1.397227, ,          18.4,      1.268179, , , , , , , , , , , , , ,          19.6,      1.593699, , 
, , ,          18.4,      1.256258, ,          17.6,       1.38209, ,          18.6,      1.216473, , , , , , , , , , , , , ,          19.8,      1.574788, , 
, , ,          18.6,      1.190878, ,          17.8,      1.364145, ,          18.8,      1.131095, , , , , , , , , , , , , ,            20,      1.540665, , 
, , , , , ,            18,      1.342351, , , , , , , , , , , , , , , , , , , , 
, , , , , ,          18.2,      1.315175, , , , , , , , , , , , , , , , , , , , 
, , , , , ,          18.4,      1.279678, , , , , , , , , , , , , , , , , , , , 
, , , , , ,          18.6,       1.23415, , , , , , , , , , , , , , , , , , , , 
, , , , , ,          18.8,       1.16886, , , , , , , , , , , , , , , , , , , , 

