Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , Cl,T1_Re10.000_M0.00_N9.0, , 
    -1.000207,    0.06834768, ,    -0.9459338,      0.095255, ,     -1.317909,    0.03587785, ,     -1.407107,    0.02685984, ,     -1.459695,    0.02176805, ,     -1.481351,    0.01860248, ,     -1.493749,    0.01665365, ,     -1.501026,    0.01533638, ,     -1.504747,    0.01457432, ,     -1.507258,    0.01401275, , 
    -1.039838,     0.0581838, ,    -0.9556738,    0.08859462, ,     -1.305524,    0.03518549, ,     -1.392613,    0.02646358, ,     -1.439446,    0.02166312, ,     -1.460197,    0.01860251, ,      -1.47268,    0.01658891, ,      -1.47978,    0.01526208, ,     -1.483939,    0.01437803, ,     -1.486522,    0.01376584, , 
    -1.057001,    0.05305147, ,    -0.9625875,     0.0822515, ,     -1.292895,     0.0345381, ,     -1.378472,    0.02608307, ,     -1.419731,    0.02146715, ,     -1.439101,    0.01859186, ,     -1.451375,    0.01655895, ,     -1.458621,    0.01516213, ,     -1.462903,    0.01421271, ,     -1.465529,    0.01355489, , 
    -1.068039,    0.04919778, ,    -0.9684941,    0.07602476, ,     -1.279558,    0.03398302, ,     -1.364813,    0.02571514, ,     -1.400118,    0.02125659, ,     -1.418374,    0.01852211, ,     -1.430028,    0.01653256, ,     -1.437264,    0.01509421, ,     -1.441624,    0.01408815, ,     -1.444312,    0.01337877, , 
    -1.075692,    0.04602457, ,    -0.9755108,    0.06991073, ,     -1.266546,    0.03339969, ,     -1.349419,    0.02539028, ,     -1.380443,    0.02107807, ,     -1.398096,    0.01837547, ,     -1.408888,    0.01646535, ,     -1.415854,    0.01503137, ,     -1.420199,    0.01398729, ,     -1.422893,    0.01323779, , 
    -1.081128,     0.0432856, ,    -0.9861584,    0.06381936, ,     -1.253453,    0.03285034, ,     -1.331906,    0.02511127, ,     -1.360741,    0.02092676, ,     -1.377712,     0.0182373, ,     -1.388105,    0.01632501, ,     -1.394575,    0.01493456, ,     -1.398739,    0.01388631, ,     -1.401374,    0.01311079, , 
    -1.084967,    0.04085834, ,     -1.003649,    0.05752071, ,     -1.240214,    0.03233496, ,     -1.313177,    0.02491765, ,      -1.34084,    0.02080193, ,     -1.357183,    0.01811622, ,     -1.367266,    0.01618694, ,     -1.373509,    0.01478144, ,     -1.377366,    0.01375356, ,     -1.379837,    0.01297622, , 
    -1.087654,    0.03867567, ,      -1.03424,    0.05030835, ,     -1.226925,    0.03185278, ,     -1.294543,    0.02466775, ,     -1.320463,    0.02074482, ,      -1.33611,    0.01808638, ,     -1.346233,    0.01608153, ,     -1.352347,    0.01464139, ,     -1.356064,    0.01358904, ,     -1.358336,    0.01281551, , 
    -1.089704,    0.03670213, ,     -1.094689,     0.0405197, ,     -1.213704,    0.03140304, ,     -1.275633,    0.02444527, ,      -1.30051,    0.02061802, ,     -1.315497,    0.01797325, ,      -1.32497,    0.01602227, ,     -1.330939,    0.01455648, ,     -1.334725,    0.01342234, ,     -1.337005,    0.01257345, , 
    -1.091744,    0.03492501, ,     -1.160711,    0.03163684, ,     -1.200762,    0.03098164, ,     -1.256632,    0.02425838, ,     -1.280494,    0.02049666, ,      -1.29485,    0.01786414, ,     -1.303968,    0.01590643, ,     -1.309703,    0.01442481, ,     -1.313168,    0.01331513, ,     -1.315242,    0.01247651, , 
     -1.08828,     0.0331425, ,     -1.177439,    0.02746835, ,     -1.188418,    0.03058918, ,     -1.237648,    0.02410308, ,     -1.260434,    0.02037984, ,      -1.27419,    0.01775757, ,     -1.282952,    0.01579405, ,     -1.288455,    0.01429427, ,     -1.291742,    0.01315969, ,     -1.293604,    0.01231967, , 
    -1.081192,    0.03143163, ,     -1.173248,    0.02510367, ,     -1.174971,    0.03026102, ,     -1.218547,    0.02396595, ,     -1.240349,    0.02026686, ,     -1.253541,    0.01765199, ,     -1.261946,    0.01568311, ,     -1.267201,    0.01416667, ,      -1.27029,    0.01300798, ,     -1.271973,     0.0121467, , 
    -1.072441,    0.02985317, ,     -1.163096,    0.02351208, ,     -1.158136,     0.0300314, ,      -1.19931,    0.02384534, ,     -1.220262,     0.0201569, ,     -1.232927,    0.01754553, ,     -1.240976,    0.01557117, ,     -1.245965,    0.01403945, ,     -1.248832,    0.01285844, ,     -1.250313,    0.01197508, , 
    -1.062127,    0.02834643, ,     -1.150017,    0.02225541, ,     -1.141333,    0.02970807, ,     -1.179986,    0.02373759, ,     -1.200205,    0.02004759, ,      -1.21238,    0.01743499, ,     -1.220067,    0.01545463, ,      -1.22477,    0.01390897, ,     -1.227386,    0.01270734, ,     -1.228639,    0.01180255, , 
    -1.050431,    0.02690795, ,     -1.135473,    0.02114472, ,     -1.121625,    0.02977493, ,     -1.160841,    0.02360091, ,     -1.180252,     0.0199278, ,     -1.191943,    0.01731216, ,     -1.199248,    0.01532614, ,     -1.203635,     0.0137686, ,     -1.205969,    0.01254902, ,     -1.206963,    0.01162529, , 
    -1.037533,    0.02554067, ,     -1.119751,    0.02016117, ,     -1.099737,    0.03018637, ,      -1.14197,     0.0234196, ,     -1.161345,     0.0195964, ,     -1.171798,    0.01712742, ,      -1.17858,    0.01515879, ,     -1.182586,     0.0135989, ,     -1.184592,    0.01236878, ,     -1.185288,    0.01143298, , 
    -1.023591,    0.02424612, ,     -1.103157,    0.01926984, ,     -1.114509,     0.0248934, ,      -1.12163,     0.0235197, ,     -1.141213,     0.0195354, ,     -1.152033,     0.0168345, ,     -1.158375,    0.01481745, ,     -1.161852,    0.01324771, ,      -1.16334,    0.01202806, ,     -1.163598,    0.01111902, , 
    -1.008741,    0.02302566, ,     -1.085867,     0.0184501, ,     -1.112631,    0.02148473, ,      -1.10023,    0.02385134, ,     -1.120931,    0.01952169, ,     -1.131484,    0.01673759, ,     -1.137483,    0.01468701, ,     -1.140643,    0.01309634, ,     -1.141842,    0.01185803, ,     -1.141824,    0.01093394, , 
   -0.9930936,    0.02188102, ,     -1.067988,     0.0176889, ,     -1.100123,    0.01978615, ,     -1.078402,    0.02009448, ,     -1.100279,    0.01960194, ,     -1.110866,    0.01666163, ,     -1.116597,    0.01455764, ,     -1.119434,     0.0129399, ,     -1.120298,    0.01168193, ,     -1.119994,    0.01074426, , 
   -0.9767316,    0.02081326, ,     -1.049579,    0.01697749, ,     -1.084689,    0.01854551, ,     -1.064762,    0.01828727, ,     -1.078829,    0.01990649, ,     -1.090179,    0.01662595, ,     -1.095736,    0.01443309, ,      -1.09825,     0.0127782, ,     -1.098749,    0.01149865, ,     -1.098104,    0.01054891, , 
   -0.9595823,    0.01986551, ,     -1.030677,    0.01630973, ,     -1.067675,    0.01753541, ,     -1.048053,    0.01706485, ,      -1.04822,    0.01701198, ,     -1.069347,    0.01667379, ,     -1.074908,    0.01432056, ,     -1.077103,    0.01261174, ,     -1.077202,    0.01130725, ,     -1.076182,     0.0103473, , 
   -0.9420789,    0.01891034, ,     -1.011312,    0.01568108, ,     -1.049615,    0.01666754, ,     -1.029943,    0.01610002, ,     -1.030349,    0.01593587, ,     -1.048039,    0.01695247, ,     -1.054108,    0.01423492, ,     -1.056002,    0.01244223, ,     -1.055664,    0.01110729, ,     -1.054237,    0.01013925, , 
   -0.9240161,    0.01801703, ,    -0.9915527,    0.01508877, ,     -1.030828,    0.01589885, ,     -1.010979,    0.01528399, ,     -1.011396,    0.01508084, ,    -0.7608548,   0.009563302, ,     -1.033289,    0.01421246, ,      -1.03494,    0.01227386, ,     -1.034134,    0.01089938, ,     -1.032274,    0.00992552, , 
   -0.9054556,    0.01718323, ,    -0.9714481,    0.01452918, ,     -1.011483,     0.0152038, ,     -0.991414,    0.01456348, ,    -0.9917769,    0.01434863, ,    -0.7358511,   0.009257859, ,     -1.012316,    0.01438728, ,     -1.013906,    0.01211715, ,     -1.012601,    0.01068655, ,     -1.010301,   0.009708527, , 
   -0.8864223,    0.01640644, ,    -0.9510316,     0.0139989, ,    -0.9916851,    0.01456527, ,    -0.9713966,    0.01389575, ,    -0.9717252,     0.0136761, ,    -0.7107441,   0.008961329, ,    -0.6027499,   0.007045188, ,    -0.9929794,    0.01200444, ,    -0.9910772,    0.01047922, ,    -0.9883358,     0.0094947, , 
   -0.8669072,    0.01569951, ,    -0.9303258,    0.01350635, ,    -0.9715108,    0.01396575, ,     -0.951013,     0.0132448, ,    -0.9513272,    0.01301235, ,    -0.6854839,   0.008674153, ,    -0.5772953,   0.006903464, ,    -0.9723863,    0.01212674, ,    -0.9697679,    0.01032889, ,    -0.9664895,   0.009310273, , 
   -0.8468838,    0.01513324, ,     -0.909374,    0.01304329, ,    -0.9510033,    0.01338621, ,    -0.9302622,    0.01273325, ,    -0.9305995,    0.01252247, ,    -0.6601692,   0.008454076, ,    -0.5516413,    0.00674346, ,    -0.7514804,   0.008129393, ,     -0.921431,    0.01026277, ,     -0.918164,   0.008977291, , 
   -0.8265681,    0.01461055, ,    -0.8882097,     0.0126085, ,    -0.9301595,    0.01289077, ,     -0.909305,    0.01225775, ,    -0.9096968,    0.01206864, ,    -0.5819008,   0.007254572, ,    -0.5258597,   0.006595538, ,    -0.6758878,   0.007459466, ,    -0.8970864,   0.009849121, ,    -0.8936341,   0.008669568, , 
   -0.8059923,    0.01404342, ,     -0.866878,    0.01220049, ,    -0.9090962,    0.01242709, ,    -0.8881753,    0.01181335, ,    -0.8886756,    0.01164525, ,    -0.5561785,   0.007076577, ,    -0.4998614,   0.006462813, ,    -0.6496719,   0.007045469, ,    -0.8725726,   0.009367568, ,    -0.8689941,    0.00837446, , 
   -0.7850587,    0.01346449, ,    -0.8454187,    0.01181796, ,    -0.8878546,    0.01199234, ,    -0.8669122,    0.01139647, ,    -0.8670364,    0.01124321, ,    -0.5302423,   0.006877988, ,    -0.4729577,     0.0062542, ,     -0.624414,   0.006909919, ,     -0.847819,   0.008884724, ,    -0.8442395,   0.008101483, , 
   -0.7638177,    0.01294424, ,    -0.8238655,    0.01145818, ,    -0.8664709,    0.01158423, ,    -0.8455837,    0.01100462, ,    -0.8421301,    0.01083689, ,    -0.5035555,   0.006583512, ,    -0.4483984,   0.006127292, ,    -0.5991272,   0.006782968, ,    -0.8228601,   0.008455607, ,    -0.8193837,   0.007854391, , 
   -0.7423567,    0.01247774, ,     -0.802245,    0.01111817, ,    -0.8449751,    0.01120085, ,    -0.8242227,    0.01063561, ,    -0.8170353,    0.01045101, ,    -0.4775615,   0.006430763, ,    -0.4242698,   0.006040492, ,    -0.5736797,   0.006651766, ,    -0.7977719,   0.008096623, ,    -0.7944636,   0.007632513, , 
   -0.7207657,    0.01206147, ,    -0.7806031,    0.01080273, ,    -0.8234176,    0.01084088, ,    -0.7491677,   0.009564842, ,    -0.7918094,    0.01008326, ,    -0.4512749,   0.006293307, ,    -0.4015614,   0.005947668, ,    -0.5479732,    0.00651441, ,    -0.7726367,   0.007800358, ,    -0.7695665,   0.007449798, , 
   -0.6991253,    0.01169369, ,    -0.7589776,    0.01051071, ,    -0.8018479,    0.01050324, ,    -0.7233992,   0.009205882, ,    -0.7665192,   0.009731943, ,    -0.4250025,   0.006187349, ,      -0.37883,   0.005833926, ,    -0.5219277,   0.006387684, ,    -0.7476523,   0.007602274, ,    -0.7447939,   0.007324605, , 
   -0.6775863,    0.01139032, ,    -0.7373902,    0.01023861, ,    -0.7802754,    0.01018315, ,    -0.6976329,   0.008878187, ,    -0.7412058,   0.009395762, ,    -0.4005835,   0.006021212, ,    -0.3564426,   0.005803518, ,    -0.4962212,   0.006272125, ,    -0.7227793,   0.007470091, ,    -0.7199289,   0.007193802, , 
   -0.6561328,     0.0111265, ,    -0.7158638,   0.009985053, ,    -0.7586303,    0.00986036, ,     -0.671914,   0.008608196, ,    -0.7158719,   0.009073807, ,    -0.3765746,   0.005945444, ,    -0.3336177,   0.005781609, ,     -0.471939,   0.006124656, ,     -0.697745,   0.007314155, ,    -0.6947943,    0.00701457, , 
   -0.6344207,    0.01082499, ,    -0.6944141,   0.009748559, ,    -0.7358306,   0.009566748, ,    -0.6462344,   0.008385603, ,    -0.6904398,    0.00873661, ,    -0.3540936,   0.005892817, ,    -0.3105507,   0.005766809, ,    -0.4485617,   0.006020386, ,    -0.6723711,   0.007092033, ,    -0.6695647,   0.006841298, , 
   -0.6122859,    0.01045808, ,    -0.6730723,   0.009529196, ,     -0.709769,   0.009286023, ,    -0.6203672,   0.008113871, ,    -0.6650545,   0.008504953, ,    -0.3318006,   0.005853957, ,    -0.2874659,   0.005768909, ,     -0.426306,   0.005959912, ,     -0.544394,   0.006338918, ,    -0.6188192,   0.006537651, , 
   -0.5918609,    0.01040396, ,    -0.6518145,    0.00932173, ,    -0.6836384,   0.009021367, ,    -0.5944792,   0.007881368, ,    -0.6393735,   0.008202614, ,    -0.3093557,     0.0058285, ,     -0.264119,   0.005763987, ,    -0.4037677,   0.005894531, ,    -0.5196608,   0.006230338, ,    -0.5932533,   0.006424749, , 
   -0.5700134,    0.01011653, ,    -0.5984423,   0.008776129, ,    -0.6574891,   0.008775341, ,    -0.5685481,   0.007673936, ,    -0.6135483,   0.007912123, ,    -0.2866231,   0.005807465, ,      -0.24049,   0.005738277, ,    -0.3807291,   0.005804816, ,    -0.4959403,    0.00614148, ,    -0.5671988,   0.006310437, , 
   -0.5490254,   0.009970011, ,     -0.571703,   0.008531485, ,    -0.6313239,   0.008540058, ,    -0.5425091,   0.007479073, ,    -0.5875795,   0.007624276, ,    -0.2635104,   0.005779893, ,    -0.1927157,   0.005641572, ,    -0.3574937,   0.005751176, ,    -0.4732016,   0.006040664, ,    -0.5431543,   0.006207061, , 
   -0.5282421,   0.009857314, ,    -0.5451548,    0.00834147, ,    -0.6051682,   0.008322039, ,    -0.5155789,    0.00712462, ,    -0.5616125,   0.007389101, ,    -0.2402894,   0.005768342, ,    -0.1687891,   0.005593861, ,    -0.3342554,   0.005732561, ,    -0.4506339,   0.005965163, ,    -0.5197766,   0.006122012, , 
   -0.5077049,   0.009765079, ,    -0.5187849,   0.008222779, ,    -0.5790168,   0.008114042, ,    -0.4894481,   0.006955444, ,    -0.5356092,   0.007186342, ,    -0.2167166,   0.005741039, ,    -0.1449958,   0.005571087, ,    -0.3110312,   0.005733686, ,     -0.428151,   0.005924041, ,    -0.4974186,   0.006055993, , 
    -0.486319,   0.009629818, ,    -0.4924212,   0.008113013, ,    -0.5522813,   0.007767444, ,    -0.4631738,   0.006774091, ,    -0.5095284,   0.006999379, ,    -0.1929039,   0.005693836, ,     -0.121069,   0.005536003, ,    -0.2641771,   0.005742231, ,    -0.4050782,    0.00586867, ,    -0.4748044,   0.005984072, , 
   -0.4584099,   0.009384351, ,    -0.4657743,   0.007937766, ,    -0.5261647,   0.007575959, ,    -0.4370132,   0.006665225, ,    -0.4825559,   0.006656544, ,    -0.1691469,   0.005663369, ,   -0.09713553,   0.005501759, ,    -0.2403211,   0.005697452, ,    -0.3817198,   0.005817875, ,    -0.4520831,   0.005936264, , 
   -0.4306914,   0.009214574, ,    -0.4391074,   0.007784131, ,    -0.4999292,   0.007379545, ,    -0.4108089,   0.006563468, ,    -0.4564179,   0.006489102, ,    -0.1451768,   0.005608494, ,    -0.0731326,   0.005474113, ,    -0.2163202,   0.005635311, ,    -0.3579634,   0.005722029, ,    -0.4290647,   0.005903704, , 
   -0.4030808,    0.00908675, ,    -0.4123038,   0.007638896, ,     -0.473764,   0.007260398, ,    -0.3845347,   0.006465982, ,    -0.4302233,   0.006347326, ,    -0.1213479,   0.005577669, ,   -0.04873835,   0.005405029, ,    -0.1925158,   0.005606978, ,    -0.3345674,   0.005711198, ,     -0.405557,   0.005843017, , 
   -0.3751988,   0.008875288, ,    -0.3854194,   0.007515765, ,    -0.4474792,   0.007150956, ,    -0.3579582,   0.006365852, ,    -0.4038152,   0.006243077, ,   -0.09739136,   0.005535472, ,   -0.02418408,   0.005316554, ,    -0.1685198,   0.005557099, ,    -0.3111832,   0.005720608, ,    -0.3820893,   0.005801556, , 
   -0.3474822,    0.00872704, ,     -0.358386,   0.007387534, ,     -0.421059,    0.00704324, ,    -0.3314259,   0.006250171, ,    -0.3779087,   0.006151174, ,   -0.07313664,   0.005462964, ,  -0.000243689,   0.005342455, ,    -0.1447165,   0.005538517, ,    -0.2876174,   0.005716879, ,    -0.3584754,   0.005761175, , 
    -0.319519,   0.008545506, ,    -0.3311449,   0.007235745, ,    -0.3944648,   0.006917309, ,    -0.3067926,   0.006137799, ,    -0.3534698,   0.006070903, ,    -0.0484818,   0.005355685, ,    0.02309924,   0.005556283, ,    -0.1208263,    0.00551385, ,    -0.2639097,   0.005695808, ,    -0.3346597,   0.005703787, , 
   -0.2913241,   0.008371926, ,    -0.3038943,   0.007116571, ,    -0.3677924,   0.006781006, ,    -0.2817147,   0.006050483, ,     -0.329354,   0.005999762, ,   -0.02414344,   0.005290812, ,     0.0463416,   0.005840798, ,   -0.09697044,   0.005497307, ,    -0.2401084,   0.005664647, ,    -0.3110698,   0.005698225, , 
   -0.2627906,   0.008174355, ,    -0.2764693,     0.0069804, ,    -0.3410808,   0.006655297, ,    -0.2585618,   0.005980039, ,    -0.3066667,   0.005932341, ,    0.02405458,   0.005300619, ,     0.0703905,   0.005919235, ,   -0.04876982,   0.005432474, ,    -0.2160842,   0.005604669, ,    -0.2874156,   0.005688583, , 
    -0.203915,   0.007428641, ,    -0.2488917,   0.006849551, ,    -0.3142404,   0.006548636, ,    -0.2359402,   0.005900355, ,    -0.2842022,   0.005866238, ,    0.04747236,    0.00552666, ,    0.09468173,   0.005955086, ,   -0.02447653,   0.005392764, ,    -0.1922159,    0.00557058, ,    -0.2636471,   0.005662011, , 
    -0.173971,   0.006983486, ,    -0.2209031,   0.006696637, ,    -0.2869588,   0.006424628, ,    -0.2140106,   0.005871166, ,    -0.2617702,   0.005826767, ,    0.07128018,   0.005698973, ,     0.1189953,   0.005971412, ,    0.02224027,   0.005825302, ,    -0.1683844,   0.005550858, ,    -0.2398396,    0.00563195, , 
   -0.1437307,   0.006514737, ,    -0.1944216,   0.006543989, ,    -0.2615859,   0.006306603, ,    -0.1915745,   0.005838879, ,    -0.2392898,   0.005818511, ,    0.09524688,   0.005813207, ,     0.1434607,   0.005965356, ,    0.04598211,   0.005977565, ,    -0.1444344,   0.005517107, ,    -0.2158727,   0.005583484, , 
   -0.1125431,     0.0059184, ,    -0.1677186,   0.006376505, ,     -0.235784,   0.006209421, ,    -0.1686146,   0.005822165, ,    -0.2161198,   0.005777963, ,     0.1196642,   0.005844118, ,     0.1677229,   0.006000035, ,      0.070128,   0.006017886, ,    -0.1206138,   0.005501003, ,    -0.1919996,   0.005557193, , 
  -0.08114192,   0.005299849, ,    -0.1391888,   0.006064761, ,    -0.2106247,   0.006092259, ,    -0.1450502,   0.005767674, ,    -0.1929017,   0.005772267, ,     0.1442303,   0.005835547, ,     0.1924783,   0.005976453, ,    0.09426519,   0.006048845, ,   -0.09676101,   0.005499401, ,    -0.1681862,   0.005539804, , 
  -0.05188092,   0.005168422, ,    -0.1128872,   0.005784993, ,    -0.1870076,   0.006007569, ,     -0.121245,   0.005704327, ,    -0.1691325,   0.005721428, ,     0.1689478,    0.00582948, ,      0.218008,   0.005855926, ,     0.1186439,   0.006041294, ,   -0.07303899,   0.005522114, ,    -0.1441973,   0.005503985, , 
  -0.02068932,   0.005073424, ,   -0.08761474,   0.005528842, ,    -0.1647077,   0.005935229, ,   -0.09699439,   0.005595367, ,    -0.1454221,   0.005687969, ,     0.1942082,   0.005757926, ,     0.2444201,   0.005636534, ,     0.1429941,   0.006054886, ,   -0.04879088,   0.005470906, ,    -0.1204057,   0.005500754, , 
   0.01063631,    0.00499393, ,   -0.06366022,    0.00528473, ,    -0.1426013,   0.005877369, ,   -0.07207155,   0.005411067, ,    -0.1215022,   0.005633793, ,      0.244109,   0.005649573, ,     0.2681734,   0.005685199, ,     0.1671825,   0.006085726, ,   -0.02469792,   0.005481133, ,   -0.09668364,   0.005527942, , 
   0.03770653,   0.004947993, ,   -0.03953252,   0.005053564, ,    -0.1193656,   0.005763705, ,   -0.04759144,   0.005297618, ,   -0.09747568,   0.005573155, ,     0.2675487,   0.005745037, ,     0.2916187,   0.005765231, ,     0.1915521,    0.00608905, ,  -0.001360292,   0.005709914, ,   -0.07289678,   0.005541958, , 
   0.06373879,   0.004937965, ,   -0.01439675,   0.004763895, ,   -0.09476345,   0.005549644, ,   -0.02296883,   0.005178262, ,     -0.072789,   0.005435066, ,     0.3141462,     0.0059461, ,     0.3149318,   0.005850195, ,     0.2165618,    0.00601239, ,    0.02190453,   0.005987034, ,   -0.04889392,    0.00552638, , 
   0.08794846,   0.004963887, ,    0.01155946,   0.004412007, ,   -0.07041956,   0.005406223, ,   0.001684434,   0.005065241, ,   -0.04818709,   0.005320033, ,     0.3372598,   0.006081903, ,     0.3380283,   0.006010391, ,     0.2426781,   0.005818986, ,     0.0459217,   0.006045042, ,   -0.02497051,   0.005601563, , 
    0.1110786,   0.005011147, ,    0.03714255,   0.004126566, ,   -0.04578436,   0.005240852, ,    0.02650688,   0.004941459, ,   -0.02376728,   0.005240946, ,       0.36041,   0.006214057, ,     0.3613144,   0.006100893, ,     0.2685337,   0.005648965, ,    0.06989218,   0.006085626, ,     0.0218839,   0.006056817, , 
     0.133379,   0.005077053, ,    0.06028929,   0.004124915, ,   -0.02086096,   0.005062555, ,    0.05100867,   0.004880403, ,  0.0007082221,   0.005156073, ,     0.3836551,   0.006307732, ,      0.384559,   0.006185384, ,     0.2922463,   0.005677603, ,    0.09423931,   0.006078289, ,    0.07004549,    0.00609509, , 
    0.1550098,   0.005132447, ,    0.08356285,    0.00414257, ,   0.003961557,   0.004904791, ,     0.0751697,     0.0049142, ,    0.02514984,   0.005101662, ,     0.4069014,    0.00638779, ,     0.4078144,    0.00626099, ,     0.3155713,   0.005781304, ,     0.1183755,   0.006094583, ,    0.09405919,   0.006123581, , 
    0.1766481,   0.005202359, ,     0.1290422,   0.004300884, ,    0.02891941,   0.004745423, ,    0.09984531,   0.004939375, ,    0.04911248,   0.005176207, ,     0.4301018,   0.006473761, ,        0.4311,     0.0063321, ,     0.3386946,   0.005931824, ,     0.1427416,   0.006107513, ,     0.1425211,   0.006154925, , 
    0.1987021,    0.00529407, ,     0.1515992,   0.004436291, ,    0.05448001,   0.004528012, ,     0.1247895,   0.004943602, ,    0.07275844,   0.005346911, ,     0.4533203,   0.006546282, ,     0.4543713,   0.006399204, ,     0.3619817,   0.006013824, ,     0.1669223,    0.00613007, ,     0.1667182,   0.006159431, , 
    0.2204069,   0.005384373, ,     0.1743023,   0.004586224, ,    0.07988427,   0.004336488, ,     0.1494332,   0.005007083, ,    0.09663337,   0.005500197, ,     0.4765456,   0.006623118, ,     0.4775473,   0.006488456, ,     0.3853771,   0.006069684, ,      0.191074,   0.006143183, ,     0.1909127,   0.006160265, , 
    0.2423291,   0.005503703, ,     0.1970823,   0.004745216, ,     0.1048112,   0.004234124, ,     0.1730085,   0.005186001, ,     0.1212949,   0.005551275, ,     0.4996994,   0.006713883, ,     0.5007275,   0.006566143, ,     0.4086597,   0.006147137, ,     0.2156805,   0.006105324, ,     0.2152488,   0.006141287, , 
    0.2644919,   0.005664375, ,     0.2194838,   0.004995949, ,     0.1278636,   0.004388692, ,     0.1962837,   0.005366511, ,     0.1460678,   0.005557391, ,     0.5228499,   0.006792556, ,     0.5470448,   0.006730094, ,     0.4319451,   0.006208264, ,      0.240943,   0.006004856, ,     0.2398997,   0.006096005, , 
    0.2864983,   0.005821331, ,     0.2416072,   0.005335502, ,     0.1509122,   0.004558713, ,     0.2195759,   0.005518861, ,     0.1710855,   0.005529394, ,     0.5458933,   0.006888705, ,     0.5702274,   0.006796343, ,     0.4551144,    0.00629922, ,      0.268299,   0.005663216, ,     0.2664589,   0.005837949, , 
    0.3083357,   0.006040606, ,     0.2636197,   0.005733172, ,     0.1738042,   0.004792491, ,     0.2427203,   0.005683108, ,     0.1964997,   0.005443458, ,     0.5690812,   0.006963355, ,     0.5933393,   0.006866317, ,     0.4783612,   0.006366845, ,     0.2926715,   0.005625104, ,     0.2929587,   0.005590005, , 
    0.3298641,   0.006394537, ,     0.2858401,   0.006092158, ,     0.1963093,   0.005122261, ,     0.2887392,   0.006039937, ,     0.2201181,   0.005551504, ,     0.5922197,   0.007033226, ,     0.6165172,   0.006930372, ,     0.5015516,   0.006452394, ,     0.3160002,   0.005750963, ,     0.3163939,   0.005705116, , 
    0.3503039,     0.0069545, ,     0.3083474,   0.006381236, ,     0.2188527,   0.005441154, ,      0.311902,   0.006177949, ,      0.289896,   0.005943886, ,      0.638417,    0.00717578, ,     0.6396272,   0.007001711, ,      0.524736,   0.006530994, ,     0.3392562,   0.005853079, ,     0.3397966,   0.005782716, , 
    0.3711647,   0.007490088, ,     0.3308997,   0.006643773, ,     0.2416885,   0.005669795, ,     0.3349974,   0.006318288, ,     0.3131362,    0.00605878, ,     0.6614311,   0.007256936, ,     0.6624883,   0.007122349, ,     0.5479345,   0.006597782, ,     0.3626267,   0.005919137, ,     0.3631338,   0.005844727, , 
    0.3927436,   0.007908204, ,     0.3533758,   0.006923697, ,     0.2645432,   0.005882023, ,     0.3579795,    0.00648065, ,     0.3363409,   0.006172345, ,     0.6841326,   0.007405902, ,     0.6853606,    0.00724975, ,     0.5711124,   0.006661667, ,      0.385964,   0.005989729, ,     0.3864742,   0.005914042, , 
    0.4145075,    0.00830317, ,     0.3986019,   0.007403122, ,     0.2874254,   0.006094502, ,     0.3808724,   0.006659598, ,      0.359275,   0.006355713, ,     0.7069707,   0.007515932, ,     0.7083181,   0.007339126, ,     0.5943319,    0.00672184, ,     0.4326153,   0.006116894, ,     0.4098862,   0.005961732, , 
