Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , 
            2,     0.6491706, ,           2.4,     0.7077834, ,           2.4,     0.7159077, ,             3,     0.7925724, ,           1.8,     0.6540871, ,           2.8,     0.7762288, ,             2,     0.6831312, ,             3,     0.8044813, ,           2.2,      0.710751, ,             3,     0.8080036, , 
          2.2,      0.670887, ,           2.6,      0.730855, ,           2.6,     0.7390652, ,           3.2,     0.8160115, ,             2,     0.6777906, ,             3,     0.7997544, ,           2.2,     0.7070823, ,           3.2,     0.8283561, ,           2.4,     0.7346194, ,           3.2,     0.8319076, , 
          2.4,     0.6927195, ,           2.8,      0.753762, ,           2.8,     0.7624962, ,           3.4,     0.8394672, ,           2.2,     0.7014885, ,           3.4,     0.8473921, ,           2.4,     0.7308378, ,           3.4,     0.8521961, ,           2.6,     0.7586619, ,           3.4,     0.8558323, , 
          2.8,     0.7370022, ,             3,     0.7768149, ,             3,     0.7860548, ,           3.6,     0.8626063, ,           2.4,     0.7254239, ,           3.6,     0.8710131, ,           2.6,     0.7547581, ,           3.6,      0.876048, ,           2.8,      0.782571, ,           3.6,     0.8795986, , 
          3.2,     0.7812762, ,           3.2,      0.799687, ,           3.2,     0.8097938, ,           3.8,     0.8859569, ,           2.8,     0.7730479, ,           3.8,     0.8944728, ,           2.8,     0.7785314, ,           3.8,     0.8998505, ,             3,     0.8063521, ,           3.8,     0.9033725, , 
          3.4,     0.8033861, ,           3.4,     0.8228141, ,           3.4,     0.8332096, ,             4,      0.909457, ,             3,     0.7968348, ,             4,     0.9179704, ,             3,     0.8025206, ,             4,     0.9234923, ,           3.2,     0.8301253, ,             4,     0.9269975, , 
          3.6,     0.8253996, ,           3.6,     0.8456252, ,           3.6,     0.8562726, ,           4.2,     0.9328093, ,           3.2,     0.8202953, ,           4.4,     0.9651896, ,           3.2,     0.8263462, ,           4.4,     0.9704756, ,           3.4,     0.8540057, ,           4.2,     0.9506274, , 
            4,     0.8695501, ,           3.8,     0.8689028, ,           3.8,     0.8795186, ,           4.4,     0.9558799, ,           3.4,     0.8438016, ,           4.6,     0.9885972, ,           3.4,     0.8499932, ,           4.6,     0.9939221, ,           3.6,     0.8780295, ,           4.4,      0.974301, , 
          4.2,     0.8915664, ,             4,     0.8918447, ,             4,     0.9024533, ,           4.6,     0.9789571, ,           3.6,     0.8674073, ,           4.8,      1.011738, ,           3.6,     0.8735435, ,           4.8,       1.01738, ,           3.8,     0.9018573, ,           4.6,      0.997968, , 
          4.4,      0.913738, ,           4.2,     0.9146212, ,           4.2,     0.9254757, ,           4.8,      1.002291, ,           3.8,     0.8910352, ,             5,       1.03475, ,           3.8,     0.8973248, ,             5,      1.040808, ,             4,     0.9254791, ,           4.8,      1.021519, , 
          4.6,     0.9353701, ,           4.4,     0.9375518, ,           4.4,     0.9487949, ,             5,      1.025441, ,             4,     0.9143666, ,           5.2,      1.057779, ,             4,     0.9211498, ,           5.4,      1.087502, ,           4.2,     0.9489459, ,           5.2,       1.06834, , 
          4.8,     0.9577079, ,           4.6,     0.9601253, ,           4.6,     0.9718853, ,           5.2,      1.048407, ,           4.2,     0.9376245, ,           5.4,      1.080925, ,           4.2,      0.944792, ,           5.6,      1.110566, ,           4.4,     0.9724142, ,           5.4,      1.091454, , 
            5,     0.9794948, ,           4.8,     0.9824682, ,           4.8,     0.9946382, ,           5.4,      1.071141, ,           4.4,     0.9610733, ,           5.6,      1.104012, ,           4.4,     0.9682053, ,           5.8,       1.13336, ,           4.8,      1.019655, ,           5.6,      1.114516, , 
          5.2,      1.000704, ,             5,      1.005262, ,             5,       1.01721, ,           5.8,      1.116296, ,           4.6,     0.9844051, ,           5.8,      1.127138, ,           4.6,     0.9913769, ,             6,      1.156124, ,             5,      1.043203, ,           5.8,      1.137587, , 
          5.4,      1.022477, ,           5.2,      1.027804, ,           5.2,      1.040121, ,             6,      1.138962, ,           4.8,      1.007586, ,             6,      1.150026, ,           4.8,       1.01464, ,           6.2,       1.17892, ,           5.2,      1.066556, ,             6,       1.16076, , 
          5.6,      1.044144, ,           5.4,      1.050022, ,           5.4,      1.062998, ,           6.2,      1.161714, ,             5,      1.030775, ,           6.2,       1.17261, ,             5,      1.038039, ,           6.4,      1.201778, ,           5.4,      1.089655, ,           6.2,      1.183957, , 
          5.8,      1.065396, ,           5.6,      1.072023, ,           5.6,      1.085688, ,           6.4,      1.184282, ,           5.2,      1.053729, ,           6.4,      1.194985, ,           5.2,      1.061439, ,           6.6,      1.224568, ,           5.8,      1.135574, ,           6.4,      1.207017, , 
            6,      1.086148, ,           5.8,      1.093782, ,           5.8,      1.108135, ,           6.6,      1.206628, ,           5.4,      1.076622, ,           6.6,      1.217373, ,           5.4,      1.084704, ,           6.8,      1.247356, ,             6,      1.158609, ,           6.6,      1.229897, , 
          6.2,      1.106925, ,             6,      1.116325, ,             6,      1.130378, ,           6.8,      1.228691, ,           5.6,      1.099565, ,           6.8,      1.239814, ,           5.6,      1.107805, ,             7,      1.269997, ,           6.2,      1.181679, ,           6.8,      1.252437, , 
          6.4,      1.128144, ,           6.2,      1.138592, ,           6.2,       1.15255, ,             7,      1.250413, ,           5.8,      1.122571, ,             7,      1.262304, ,           5.8,      1.130658, ,           7.2,      1.292288, ,           6.4,      1.204661, ,             7,      1.274598, , 
          6.6,      1.148966, ,           6.4,      1.160552, ,           6.4,      1.174559, ,           7.2,      1.272037, ,             6,      1.145431, ,           7.4,      1.307019, ,             6,      1.153241, ,           7.4,      1.314172, ,           6.6,      1.227514, ,           7.2,      1.296737, , 
          6.8,      1.169318, ,           6.6,      1.182216, ,           6.6,      1.196882, ,           7.4,       1.29378, ,           6.2,      1.168099, ,           7.6,      1.329069, ,           6.2,      1.175778, ,           7.6,      1.335994, ,           6.8,      1.250183, ,           7.4,      1.319004, , 
            7,      1.189058, ,           6.8,       1.20351, ,           6.8,      1.219092, ,           7.6,      1.315648, ,           6.4,       1.19051, ,           7.8,      1.350683, ,           6.4,      1.198519, ,           7.8,      1.357926, ,             7,      1.272508, ,           7.6,      1.341449, , 
          7.2,       1.20789, ,           7.2,      1.245458, ,             7,      1.241064, ,           7.8,      1.337485, ,           6.8,      1.234856, ,             8,      1.371924, ,           6.6,      1.221317, ,             8,      1.379935, ,           7.2,      1.294556, ,           7.8,      1.363853, , 
          7.4,      1.228764, ,           7.4,       1.26703, ,           7.2,      1.262752, ,             8,      1.359087, ,             7,      1.256987, ,           8.2,      1.393141, ,           6.8,      1.244065, ,           8.4,      1.423758, ,           7.4,      1.316652, ,             8,      1.386079, , 
          7.6,      1.248949, ,           7.6,      1.288316, ,           7.6,      1.305395, ,           8.2,      1.380405, ,           7.2,      1.279223, ,           8.4,      1.414438, ,             7,       1.26667, ,           8.6,      1.445351, ,           7.6,      1.338858, ,           8.2,       1.40801, , 
          7.8,      1.268629, ,           7.8,      1.309268, ,           7.8,      1.326362, ,           8.4,      1.401335, ,           7.4,      1.301413, ,           8.6,      1.435886, ,           7.2,      1.289087, ,           8.8,      1.466563, ,           7.8,      1.361132, ,           8.4,      1.429585, , 
            8,      1.287792, ,             8,      1.329874, ,             8,      1.347172, ,           8.6,      1.421963, ,           7.6,      1.323414, ,           8.8,      1.457342, ,           7.4,      1.311184, ,             9,      1.487407, ,             8,      1.383318, ,           8.6,      1.450893, , 
          8.2,      1.306418, ,           8.2,      1.350044, ,           8.2,       1.36845, ,           8.8,      1.442219, ,           7.8,      1.345181, ,             9,      1.478526, ,           7.6,      1.332846, ,           9.2,      1.508027, ,           8.2,      1.405298, ,           8.8,      1.472083, , 
          8.4,      1.324174, ,           8.4,      1.369936, ,           8.4,      1.389475, ,             9,      1.462404, ,             8,      1.366685, ,           9.2,      1.499369, ,             8,      1.376118, ,           9.4,      1.528611, ,           8.4,      1.427003, ,           9.2,      1.514638, , 
          8.6,      1.339809, ,           8.6,      1.389349, ,           8.6,      1.410201, ,           9.2,      1.482594, ,           8.2,      1.387883, ,           9.4,      1.519768, ,           8.2,       1.39791, ,           9.6,      1.549219, ,           8.8,      1.469506, ,           9.4,       1.53584, , 
          8.8,      1.358239, ,           8.8,      1.408563, ,           8.8,      1.430739, ,           9.4,      1.503012, ,           8.4,      1.408694, ,           9.6,       1.53971, ,           8.4,      1.419695, ,           9.8,      1.569803, ,             9,      1.490515, ,           9.6,      1.556908, , 
            9,      1.375989, ,             9,      1.428479, ,             9,      1.450796, ,           9.6,       1.52312, ,           8.6,      1.429565, ,           9.8,      1.559321, ,           8.6,      1.441273, ,            10,      1.590238, ,           9.2,      1.511524, ,           9.8,      1.578002, , 
          9.2,      1.393139, ,           9.2,      1.447987, ,           9.2,      1.470273, ,           9.8,      1.542997, ,           8.8,      1.450506, ,            10,      1.578953, ,           8.8,      1.462584, ,          10.2,      1.610765, ,           9.4,      1.532477, ,            10,      1.598929, , 
          9.4,      1.408955, ,           9.6,      1.485589, ,           9.4,      1.489265, ,            10,      1.562473, ,             9,      1.471511, ,          10.2,      1.598459, ,             9,      1.483521, ,          10.4,      1.631078, ,           9.6,      1.553312, ,          10.2,      1.619675, , 
          9.6,      1.421976, ,           9.8,      1.503317, ,           9.6,      1.508028, ,          10.2,      1.581359, ,           9.2,      1.492263, ,          10.6,        1.6371, ,           9.2,      1.504169, ,          10.6,      1.651169, ,           9.8,      1.574011, ,          10.4,      1.640364, , 
          9.8,      1.436061, ,            10,      1.520037, ,            10,      1.546154, ,          10.4,      1.599478, ,           9.4,      1.512883, ,          10.8,      1.656351, ,           9.4,      1.524554, ,            11,      1.690805, ,            10,      1.594854, ,          10.6,      1.660893, , 
           10,      1.450393, ,          10.2,         1.536, ,          10.2,      1.564847, ,          10.6,      1.616873, ,           9.6,      1.533143, ,          11.2,      1.693838, ,           9.6,      1.544803, ,          11.2,      1.710257, ,          10.2,      1.615597, ,          10.8,      1.681211, , 
         10.2,      1.463068, ,          10.6,      1.565629, ,          10.4,       1.58277, ,          10.8,      1.633555, ,           9.8,      1.552907, ,          11.4,      1.711772, ,           9.8,      1.564988, ,          11.4,      1.729312, ,          10.4,      1.636144, ,            11,      1.701299, , 
         10.4,      1.476188, ,          10.8,      1.578676, ,          10.6,      1.599936, ,            11,      1.649527, ,            10,      1.572122, ,          11.6,      1.729196, ,            10,      1.585012, ,          11.6,      1.748006, ,          10.6,      1.656472, ,          11.2,       1.72115, , 
         10.6,      1.492065, ,            11,      1.593446, ,            11,      1.632446, ,          11.2,      1.664202, ,          10.2,      1.590924, ,          11.8,      1.746301, ,          10.2,      1.604826, ,          11.8,      1.766093, ,          10.8,      1.676575, ,          11.4,      1.740749, , 
         10.8,      1.507487, ,          11.2,      1.608456, ,          11.2,      1.647721, ,          11.4,      1.680764, ,          10.4,      1.609511, ,            12,      1.763076, ,          10.8,      1.664606, ,          12.2,      1.800946, ,            11,      1.696444, ,          11.6,      1.760061, , 
           11,      1.522359, ,          11.4,      1.623437, ,          11.4,      1.659079, ,          11.6,      1.696979, ,          10.6,      1.627722, ,          12.2,      1.779651, ,            11,      1.683999, ,          12.4,       1.81789, ,          11.4,      1.735534, ,          11.8,      1.779055, , 
         11.2,      1.536695, ,          11.6,      1.638066, ,          11.6,      1.671255, ,          11.8,      1.709563, ,          10.8,      1.645559, ,          12.4,       1.79573, ,          11.2,      1.702996, ,          12.6,      1.834442, ,          11.6,      1.754585, ,            12,      1.797686, , 
         11.4,       1.55054, ,          11.8,      1.652395, ,          11.8,      1.684222, ,            12,      1.723357, ,            11,      1.663756, ,          12.6,       1.80726, ,          11.4,      1.721629, ,          12.8,      1.850716, ,          11.8,      1.773278, ,          12.2,      1.815628, , 
         11.6,      1.563834, ,            12,       1.66633, ,            12,      1.697405, ,          12.2,      1.737982, ,          11.2,       1.68133, ,          12.8,      1.821209, ,          11.8,      1.757297, ,            13,      1.864534, ,            12,      1.791336, ,          12.4,      1.833017, , 
         11.8,      1.576529, ,          12.2,      1.679994, ,          12.2,      1.710532, ,          12.4,      1.752618, ,          11.4,      1.698511, ,            13,      1.835685, ,            12,      1.774526, ,          13.2,       1.87675, ,          12.2,      1.808798, ,          12.8,      1.867034, , 
           12,      1.588656, ,          12.4,      1.693287, ,          12.4,      1.723569, ,          13.4,      1.824526, ,          11.6,      1.715567, ,          13.2,      1.850257, ,          12.2,      1.791395, ,          13.4,      1.890987, ,          12.4,      1.826055, ,            13,      1.883539, , 
         12.2,      1.599728, ,          12.6,        1.7062, ,          12.6,      1.736367, ,          13.6,      1.838546, ,          11.8,      1.732229, ,          13.4,      1.864593, ,          12.4,      1.807898, ,          13.6,      1.905123, ,          12.6,      1.843009, ,          13.2,      1.899728, , 
         12.4,      1.608617, ,            13,      1.731123, ,            13,      1.764341, ,          13.8,      1.852304, ,            12,       1.74856, ,          13.6,      1.879045, ,          12.6,      1.824292, ,          13.8,      1.919389, ,          12.8,      1.859562, ,          13.4,      1.912392, , 
         12.6,      1.615101, ,          13.2,      1.743092, ,          13.2,      1.778044, ,            14,      1.865775, ,          12.2,      1.761322, ,          13.8,      1.893256, ,          12.8,      1.837089, ,            14,      1.933637, ,            13,      1.875809, ,          13.6,      1.924812, , 
         12.8,      1.622048, ,          13.4,      1.754694, ,          13.4,      1.791636, ,          14.2,       1.87917, ,          12.6,      1.789305, ,            14,      1.907405, ,            13,      1.850114, ,          14.2,      1.947859, ,          13.2,      1.889522, ,          13.8,      1.938841, , 
           13,      1.633694, ,          13.6,      1.765984, ,          13.6,      1.804953, ,          14.4,      1.892323, ,          12.8,       1.80392, ,          14.2,      1.921274, ,          13.2,      1.864422, ,          14.4,      1.961701, ,          13.4,      1.901555, ,            14,       1.95262, , 
         13.2,      1.644915, ,          13.8,      1.776898, ,          13.8,      1.818058, ,          14.8,      1.918097, ,            13,      1.818375, ,          14.6,      1.948799, ,          13.4,      1.878772, ,          14.6,      1.975277, ,          13.6,      1.915724, ,          14.2,      1.966234, , 
         13.4,       1.65581, ,            14,      1.787435, ,            14,      1.831066, ,            15,      1.930601, ,          13.4,      1.847341, ,          14.8,      1.962011, ,          13.6,      1.893163, ,          14.8,      1.988898, ,          13.8,      1.929738, ,          14.4,       1.97971, , 
         13.6,      1.666367, ,          14.2,      1.797585, ,          14.2,      1.843861, ,          15.2,      1.942775, ,          13.6,       1.86162, ,            15,      1.975071, ,          13.8,      1.907527, ,            15,      2.002009, ,            14,      1.943765, ,          14.6,      1.992753, , 
         13.8,      1.676481, ,          14.4,      1.807356, ,          14.4,      1.856324, ,          15.4,      1.954932, ,          13.8,      1.875551, ,          15.2,      1.988074, ,            14,      1.921753, ,          15.4,       2.02696, ,          14.2,      1.957805, ,          14.8,      2.005284, , 
           14,      1.686103, ,          14.6,      1.816495, ,          14.6,      1.868609, ,          15.6,      1.966842, ,            14,      1.889567, ,          15.4,      2.000723, ,          14.2,       1.93578, ,          15.6,      2.038496, ,          14.4,      1.971784, ,            15,      2.017333, , 
         14.2,      1.695333, ,          14.8,      1.825065, ,          14.8,      1.880786, ,          15.8,       1.97841, ,          14.2,      1.903332, ,          15.6,      2.013031, ,          14.4,      1.949594, ,          15.8,      2.049684, ,          14.6,       1.98525, ,          15.2,      2.029346, , 
         14.4,      1.704151, ,            15,       1.83318, ,            15,      1.892683, ,            16,      1.989643, ,          14.4,      1.916775, ,          15.8,      2.025141, ,          14.6,      1.963415, ,            16,      2.060458, ,          14.8,      1.998158, ,          15.4,      2.041226, , 
         14.6,      1.712523, ,          15.2,      1.840471, ,          15.4,      1.915724, ,          16.2,      2.000623, ,          14.6,      1.930073, ,            16,      2.036825, ,          14.8,      1.976874, ,          16.2,       2.07078, ,            15,      2.010949, ,          15.6,      2.052747, , 
         14.8,      1.720467, ,          15.4,      1.846813, ,          15.6,      1.926824, ,          16.4,      2.011371, ,          14.8,      1.943177, ,          16.2,       2.04806, ,            15,      1.990189, ,          16.4,      2.080932, ,          15.2,      2.023107, ,          16.6,      2.110056, , 
           15,      1.727926, ,          15.6,      1.853176, ,          15.8,      1.937668, ,          16.6,      2.021841, ,            15,      1.956105, ,          16.4,       2.05893, ,          15.2,      2.003107, ,          16.6,      2.091105, ,          15.4,      2.034696, ,          16.8,      2.121152, , 
         15.2,       1.73493, ,          15.8,      1.862573, ,            16,      1.948399, ,          16.8,      2.032049, ,          15.2,      1.968811, ,          16.6,      2.069144, ,          15.4,       2.01561, ,          16.8,      2.101138, ,          15.6,      2.046095, ,            17,      2.131971, , 
         15.4,      1.741545, ,            16,      1.871671, ,          16.2,      1.958783, ,            17,      2.041684, ,          15.4,      1.981258, ,          16.8,      2.078613, ,          15.6,      2.027999, ,            17,      2.110918, ,          15.8,       2.05731, ,          17.2,      2.142532, , 
         15.6,       1.74773, ,          16.2,       1.88041, ,          16.4,      1.968753, ,          17.4,      2.059873, ,          15.6,      1.993347, ,            17,      2.087513, ,          15.8,      2.039811, ,          17.2,      2.120692, ,            16,      2.068258, ,          17.4,      2.152588, , 
         15.8,      1.753441, ,          16.4,      1.888881, ,          16.6,      1.978519, ,          17.6,      2.068349, ,            16,      2.017075, ,          17.2,       2.09594, ,          16.2,      2.061472, ,          17.4,      2.130266, ,          16.2,      2.079124, ,          17.6,      2.162815, , 
           16,       1.75875, ,          16.6,      1.897065, ,          16.8,      1.987957, ,          17.8,      2.076324, ,          16.2,      2.028458, ,          17.4,      2.103829, ,          16.4,      2.071604, ,          17.6,      2.139439, ,          16.4,      2.090002, ,          17.8,      2.173182, , 
         16.2,      1.763737, ,            17,      1.912824, ,            17,      1.997045, ,            18,       2.08373, ,          16.4,      2.039302, ,          17.8,      2.118625, ,          16.6,       2.08123, ,          17.8,      2.148276, ,          16.6,      2.100848, ,            18,      2.183191, , 
         16.4,      1.768326, ,          17.2,      1.920278, ,          17.2,      2.005879, ,          18.2,      2.090369, ,          16.6,      2.049942, ,            18,      2.125796, ,          16.8,       2.09049, ,            18,      2.156511, ,          16.8,      2.111573, ,          18.2,      2.192739, , 
         16.6,      1.772441, ,          17.4,      1.927396, ,          17.4,      2.014308, ,          18.4,      2.096268, ,          16.8,      2.060272, ,          18.2,      2.132669, ,            17,      2.099528, ,          18.2,       2.16516, ,            17,      2.121998, ,          18.4,      2.201844, , 
         16.8,      1.776096, ,          17.6,      1.934311, ,          17.6,      2.022399, ,          18.6,      2.101345, ,            17,      2.070023, ,          18.4,      2.139237, ,          17.2,      2.108462, ,          18.4,      2.173807, ,          17.2,       2.13201, ,          18.6,      2.210831, , 
           17,      1.779346, ,          17.8,      1.940971, ,            18,       2.03775, ,          18.8,      2.105555, ,          17.2,      2.079206, ,          18.6,      2.144844, ,          17.4,      2.117298, ,          18.6,      2.182337, ,          17.4,      2.141867, ,          18.8,        2.2195, , 
         17.2,      1.782081, ,            18,       1.94725, ,          18.2,      2.044848, ,            19,      2.108765, ,          17.4,       2.08757, ,          18.8,      2.149697, ,          17.6,      2.125974, ,          18.8,      2.190521, ,          17.6,        2.1516, ,            19,       2.22799, , 
         17.4,      1.784182, ,          18.4,      1.958763, ,          18.4,      2.051376, ,          19.2,      2.111224, ,          17.6,      2.095197, ,            19,      2.156656, ,          17.8,      2.134141, ,            19,      2.198191, ,          17.8,      2.161081, ,          19.2,      2.236245, , 
         17.6,      1.785698, ,          18.6,      1.963812, ,          18.6,      2.057447, ,          19.4,      2.113169, ,          17.8,      2.102101, ,          19.2,       2.16328, ,          18.2,      2.149471, ,          19.2,      2.205621, ,          18.2,      2.179851, ,          19.4,      2.243984, , 
         17.8,      1.786521, ,          18.8,      1.968494, ,          18.8,      2.062963, ,          19.8,      2.105359, ,            18,      2.108419, ,          19.4,      2.169481, ,          18.4,      2.156302, ,          19.4,      2.212732, ,          18.4,      2.188852, ,          19.8,       2.25853, , 
           18,      1.786651, ,            19,      1.972715, ,            19,      2.067902, ,            20,      2.107866, ,          18.2,      2.114225, ,          19.6,      2.175209, ,          18.6,      2.164369, ,          19.6,      2.219602, ,          18.6,      2.197505, ,            20,       2.26554, , 
         18.2,       1.78595, ,          19.2,      1.976484, ,          19.2,      2.072041, , , , ,          18.4,      2.119521, ,          19.8,      2.180609, ,          18.8,      2.172023, ,          19.8,      2.226179, ,          18.8,      2.206053, , , , , 
         18.4,      1.784373, ,          19.4,      1.979574, ,          19.4,      2.075367, , , , ,          18.6,       2.12476, ,            20,      2.185626, ,            19,       2.17942, ,            20,      2.232394, ,            19,      2.214274, , , , , 
         18.6,      1.781637, ,          19.6,      1.981923, ,          19.6,      2.077511, , , , ,          18.8,      2.129577, , , , ,          19.2,      2.186468, , , , ,          19.2,      2.221997, , , , , 
         18.8,      1.777444, ,          19.8,      1.983706, ,          19.8,      2.078312, , , , ,            19,      2.133353, , , , ,          19.4,      2.193243, , , , ,          19.4,      2.229372, , , , , 
           19,      1.771846, ,            20,        1.9847, , , , , , , ,          19.2,      2.133844, , , , ,          19.6,      2.199668, , , , ,          19.6,      2.236584, , , , , 
         19.2,      1.764529, , , , , , , , , , ,          19.4,      2.139208, , , , ,          19.8,      2.205605, , , , ,          19.8,      2.243558, , , , , 
         19.4,      1.754948, , , , , , , , , , ,          19.6,      2.144142, , , , ,            20,      2.211176, , , , ,            20,      2.250154, , , , , 
         19.6,      1.742753, , , , , , , , , , ,          19.8,      2.148654, , , , , , , , , , , , , , , , , 
         19.8,      1.727419, , , , , , , , , , ,            20,      2.152802, , , , , , , , , , , , , , , , , 
           20,      1.707166, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 

